StageOrder	Stage	Profiles	Subjects	CD	UC	Control
1	Published MetaPhlAn profiles	1638	130	750	459	429
2	One primary profile per biospecimen	1595	130	736	445	414
3	Filtered reads ≥1,000,000	1553	130	719	423	411
4	Subjects with ≥4 eligible visits	1523	107	699	413	411
