Diagnosis	BaselineAbundance	Subjects	SubjectMedianRetention	CILower	CIUpper
Control	0.01–0.1%	27	0.5744186046511628	0.532051282051282	0.6206030150753769
Control	0.1–1%	27	0.870026525198939	0.8181818181818182	0.8913043478260869
Control	≥1%	27	0.9568345323741008	0.9534883720930233	0.9772079772079773
CD	0.01–0.1%	50	0.5564663023679417	0.5217693748194782	0.6082474226804123
CD	0.1–1%	50	0.8251238499646143	0.7957783641160949	0.8646613614065688
CD	≥1%	50	0.947471264367816	0.9404761904761905	0.9590163934426229
UC	0.01–0.1%	30	0.5780815719733696	0.549043062200957	0.6033734178880614
UC	0.1–1%	30	0.8393016490031415	0.8102990033222592	0.8646628013426915
UC	≥1%	30	0.9614275414563807	0.9546773237227146	0.9703131796433232
