Model	Observations	Subjects	Singular	MaxAbsGradient	ConvergenceMessage
Primary REML random intercept+slope	1523	107	FALSE	2.05773176276125e-05	none
ML random intercept	1523	107	FALSE	1.31421984406188e-06	none
ML random intercept+slope	1523	107	FALSE	1.6225385479629e-05	none
