Diagnosis	Subjects	ShortIntervals	ShiftEvents	PooledShiftPercent	MeanSubjectShiftFraction	MeanSubjectCILower	MeanSubjectCIUpper	MedianSubjectShiftFraction	MedianSubjectBrayCurtis
Control	27	281	34	12.099644128113878	0.0973048629982418	0.05004556075101684	0.15273258753313446	0.0	0.3168350328715737
CD	50	454	63	13.876651982378855	0.13631086594863684	0.08893466664914035	0.18829065299165912	0.05606060606060606	0.3149562205384663
UC	30	270	26	9.62962962962963	0.09182492745186242	0.052546262117082555	0.13656272767766575	0.0	0.29723222631193535
