Iteration	BalancedAccuracy
1	0.378853754940711
2	0.467523056653491
3	0.271805006587615
4	0.300856389986825
5	0.382542819499341
6	0.222463768115942
7	0.266798418972332
8	0.351910408432148
9	0.154743083003953
10	0.285046113306983
11	0.563175230566535
12	0.17463768115942
13	0.299868247694335
14	0.408827404479578
15	0.49802371541502
16	0.350724637681159
17	0.228722002635046
18	0.33471673254282
19	0.382147562582345
20	0.283926218708827
21	0.263768115942029
22	0.244729907773386
23	0.276152832674572
24	0.267918313570487
25	0.490184453227931
26	0.221739130434783
27	0.245652173913043
28	0.436231884057971
29	0.322727272727273
30	0.363175230566535
31	0.231554677206851
32	0.414690382081686
33	0.267918313570487
34	0.498616600790514
35	0.277404479578393
36	0.303359683794466
37	0.226548089591568
38	0.414229249011858
39	0.41501976284585
40	0.197101449275362
41	0.325230566534914
42	0.288405797101449
43	0.404808959156785
44	0.431357048748353
45	0.320289855072464
46	0.429841897233202
47	0.272002635046113
48	0.501844532279315
49	0.438471673254282
50	0.186758893280632
51	0.391106719367589
52	0.391304347826087
53	0.323320158102767
54	0.377009222661397
55	0.424110671936759
56	0.300790513833992
57	0.187615283267457
58	0.515349143610013
59	0.341304347826087
60	0.263768115942029
61	0.388405797101449
62	0.215942028985507
63	0.444071146245059
64	0.458168642951252
65	0.376284584980237
66	0.487417654808959
67	0.336758893280632
68	0.310540184453228
69	0.268181818181818
70	0.205797101449275
71	0.506587615283267
72	0.15
73	0.272924901185771
74	0.424835309617918
75	0.192753623188406
76	0.33102766798419
77	0.307509881422925
78	0.431884057971014
79	0.309288537549407
80	0.271541501976285
81	0.42832674571805
82	0.286231884057971
83	0.144137022397892
84	0.178985507246377
85	0.292687747035573
86	0.303162055335968
87	0.281884057971014
88	0.241304347826087
89	0.243412384716733
90	0.376745718050066
91	0.237549407114624
92	0.223781291172596
93	0.279710144927536
94	0.187615283267457
95	0.516205533596838
96	0.254940711462451
97	0.20862977602108
98	0.574176548089592
99	0.341238471673254
100	0.433069828722003
101	0.136100131752306
102	0.318774703557312
103	0.29631093544137
104	0.419894598155468
105	0.198418972332016
106	0.484189723320158
107	0.429380764163373
108	0.376021080368906
109	0.270223978919631
110	0.333926218708827
111	0.228722002635046
112	0.352766798418972
113	0.112977602108037
114	0.403425559947299
115	0.44802371541502
116	0.410803689064559
117	0.175955204216074
118	0.228919631093544
119	0.326021080368906
120	0.168115942028986
121	0.250527009222661
122	0.446179183135705
123	0.128129117259552
124	0.231357048748353
125	0.402898550724638
126	0.336561264822134
127	0.351449275362319
128	0.365942028985507
129	0.286495388669302
130	0.438142292490119
131	0.498682476943346
132	0.440579710144928
133	0.272463768115942
134	0.420882740447958
135	0.187615283267457
136	0.38300395256917
137	0.320289855072464
138	0.132608695652174
139	0.354808959156785
140	0.371541501976285
141	0.13695652173913
142	0.267720685111989
143	0.381488801054018
144	0.234057971014493
145	0.192753623188406
146	0.218774703557312
147	0.483530961791831
148	0.370816864295125
149	0.384255599472991
150	0.303623188405797
151	0.123122529644269
152	0.448550724637681
153	0.231818181818182
154	0.289723320158103
155	0.252569169960474
156	0.187615283267457
157	0.51600790513834
158	0.425691699604743
159	0.46403162055336
160	0.419038208168643
161	0.382674571805007
162	0.256258234519104
163	0.172463768115942
164	0.26231884057971
165	0.559683794466403
166	0.186100131752306
167	0.306916996047431
168	0.197101449275362
169	0.336890645586298
170	0.397496706192358
171	0.416534914361001
172	0.29703557312253
173	0.416864295125165
174	0.328458498023715
175	0.514426877470356
176	0.446706192358366
177	0.38695652173913
178	0.332806324110672
179	0.236758893280632
180	0.140447957839262
181	0.338471673254282
182	0.483465085638999
183	0.425296442687747
184	0.366534914361001
185	0.444532279314888
186	0.228919631093544
187	0.176613965744401
188	0.364690382081686
189	0.278853754940711
190	0.253623188405797
191	0.508563899868248
192	0.323913043478261
193	0.363504611330698
194	0.273913043478261
195	0.172068511198946
196	0.345520421607378
197	0.498880105401845
198	0.352832674571805
199	0.310803689064559
200	0.405072463768116
