Class	Recall	Precision	Specificity	F1
Control	0.863636363636364	0.513513513513513	0.581395348837209	0.644067796610169
CD	0.65	0.764705882352941	0.911111111111111	0.702702702702703
UC	0.391304347826087	0.818181818181818	0.952380952380952	0.529411764705882
