Block	Component	KeepX	DesignWeight	Folds	Repeats	Measure	Distance
microbiome	1	20	0.1	5	5	Balanced error rate	Centroids
microbiome	2	20	0.1	5	5	Balanced error rate	Centroids
metabolome	1	20	0.1	5	5	Balanced error rate	Centroids
metabolome	2	5	0.1	5	5	Balanced error rate	Centroids
