Figure	Status	Detail
34-gene-catalog-workflow	PASS	4274x1821; colors=2285; pdf=26917; tiff=739230
34-gene-length-distributions	PASS	4106x1811; colors=265; pdf=35364; tiff=715248
34-strategy-truth-audit	PASS	4331x1717; colors=870; pdf=27632; tiff=887784
34-threshold-method-sensitivity	PASS	4202x1842; colors=3716; pdf=34678; tiff=810214
