Branch	Path	ExpectedSHA256	ObservedSHA256	Status
megahit-m1	data/small/30-short-read-assembly-frozen/contigs/megahit-single-MOCK1.ge1000.fna.gz	e3554bafffb94c5e48954f6cbb27de977015c82d8bf98f7a9e6373316e2a4a60	e3554bafffb94c5e48954f6cbb27de977015c82d8bf98f7a9e6373316e2a4a60	PASS
megahit-m2	data/small/30-short-read-assembly-frozen/contigs/megahit-single-MOCK2.ge1000.fna.gz	a6c6c2eafb40bb557c3eaf21d124b983dd964843e6caa5ef656b3a61c01a3cbf	a6c6c2eafb40bb557c3eaf21d124b983dd964843e6caa5ef656b3a61c01a3cbf	PASS
megahit-co	data/small/30-short-read-assembly-frozen/contigs/megahit-coassembly.ge1000.fna.gz	904f92521ff0ce9f12bd52d153bb249ec816fc900051e06b4b12bc5da74a270a	904f92521ff0ce9f12bd52d153bb249ec816fc900051e06b4b12bc5da74a270a	PASS
metaspades-m1	data/small/30-short-read-assembly-frozen/contigs/metaspades-single-MOCK1.ge1000.fna.gz	31f0cc488a4b9f22ddf7c48cfa781768da8a59a2b0a89d93163a88b25d636db5	31f0cc488a4b9f22ddf7c48cfa781768da8a59a2b0a89d93163a88b25d636db5	PASS
metaspades-m2	data/small/30-short-read-assembly-frozen/contigs/metaspades-single-MOCK2.ge1000.fna.gz	5df645a88ee9e996f7495cccf8eb4342e59503a38a115e34f898edbdae2f461e	5df645a88ee9e996f7495cccf8eb4342e59503a38a115e34f898edbdae2f461e	PASS
metaspades-co	data/small/30-short-read-assembly-frozen/contigs/metaspades-coassembly.ge1000.fna.gz	d3d6300e11bfdff2dfc10d4abdf58240e89e856e0f634c81b527cdd5ff7a559e	d3d6300e11bfdff2dfc10d4abdf58240e89e856e0f634c81b527cdd5ff7a559e	PASS
