sample_id	SubjectID	Compound	CompoundName	reaction	CommunityScaledFlux	AbsoluteFlux	NetDirection
MV_FEM1_t1Q14	MV_FEM1	pyr	pyr	EX_pyr_m	0.0013046890850139	0.0013046890850139	Export
MV_FEM1_t1Q14	MV_FEM1	hst_3_s	hst 3 s	EX_hst_3_s_m	0.0011039340868137	0.0011039340868137	Export
MV_FEM1_t1Q14	MV_FEM1	dxo_glc	dxo glc	EX_dxo_glc_m	0.0010895444702362	0.0010895444702362	Export
MV_FEM1_t1Q14	MV_FEM1	rpn_104557_cb_glc	rpn 104557 cb glc	EX_rpn_104557_cb_glc_m	-0.0010811874691676	0.0010811874691676	Import
MV_FEM1_t1Q14	MV_FEM1	doh_etr_glc	doh etr glc	EX_doh_etr_glc_m	-0.0009809910190758	0.0009809910190758	Import
MV_FEM1_t1Q14	MV_FEM1	dfduri	dfduri	EX_dfduri_m	0.0009016880445645	0.0009016880445645	Export
MV_FEM1_t1Q14	MV_FEM1	arbt	arbt	EX_arbt_m	0.0008029855879118	0.0008029855879118	Export
MV_FEM1_t1Q14	MV_FEM1	salcn	salcn	EX_salcn_m	0.0006281182635401	0.0006281182635401	Export
MV_FEM1_t1Q14	MV_FEM1	smvacid	smvacid	EX_smvacid_m	0.0005620259728874	0.0005620259728874	Export
MV_FEM1_t1Q14	MV_FEM1	glymet	glymet	EX_glymet_m	-0.0005410224234672	0.0005410224234672	Import
MV_FEM1_t1Q14	MV_FEM1	gncore2	gncore2	EX_gncore2_m	-0.0005316582200469	0.0005316582200469	Import
MV_FEM1_t1Q14	MV_FEM1	fvsgluc	fvsgluc	EX_fvsgluc_m	0.0003489433276098	0.0003489433276098	Export
MV_FEM1_t1Q14	MV_FEM1	mops	mops	EX_mops_m	-0.0003147282303581	0.0003147282303581	Import
MV_FEM1_t1Q14	MV_FEM1	ncam	ncam	EX_ncam_m	0.00030168001491	0.00030168001491	Export
MV_FEM1_t1Q14	MV_FEM1	3hibupglu_S	3hibupglu S	EX_3hibupglu_S_m	-0.0002704488838539	0.0002704488838539	Import
MV_FEM1_t1Q14	MV_FEM1	tpno_1glc_4g	tpno 1glc 4g	EX_tpno_1glc_4g_m	-0.0001889087928928	0.0001889087928928	Import
MV_FEM1_t1Q14	MV_FEM1	eltr	eltr	EX_eltr_m	-0.0001671105198905	0.0001671105198905	Import
MV_FEM1_t1Q14	MV_FEM1	czp	czp	EX_czp_m	-0.0001539330260686	0.0001539330260686	Import
MV_FEM1_t1Q14	MV_FEM1	odsm_gltmn_glc	odsm gltmn glc	EX_odsm_gltmn_glc_m	-0.0001421991171627	0.0001421991171627	Import
MV_FEM1_t1Q14	MV_FEM1	2hatvlacgluc	2hatvlacgluc	EX_2hatvlacgluc_m	0.0001330814764204	0.0001330814764204	Export
MV_FEM1_t1Q14	MV_FEM1	xyl_D	xyl D	EX_xyl_D_m	-0.0001298286676128	0.0001298286676128	Import
MV_FEM1_t1Q14	MV_FEM1	hspg	hspg	EX_hspg_m	-0.0001092827918065	0.0001092827918065	Import
