study_name	SampleID	SubjectID	age_category	gender	NCBI_accession	PMID	Reads	SourceOrder
AsnicarF_2017	MV_FEM1_t1Q14	MV_FEM1	adult	female	SRR4052043	28144631	27277064	0
AsnicarF_2017	MV_FEM2_t1Q14	MV_FEM2	adult	female	SRR4052044	28144631	19883080	1
AsnicarF_2017	MV_FEM3_t1Q14	MV_FEM3	adult	female	SRR4052023	28144631	28539448	2
AsnicarF_2017	MV_FEM4_t1Q14	MV_FEM4	adult	female	SRR4052024	28144631	19038206	3
AsnicarF_2017	MV_FEM5_t1Q14	MV_FEM5	adult	female	SRR4052026	28144631	23822026	5
AsnicarF_2017	MV_MIM5_t3F15	MV_MIM5	adult	female	SRR4052037	28144631	3289927	15
