taxon	sample_id	tolerance	reaction	flux	abundance	metabolite	direction	SubjectID	Compound	CompoundName	CommunityScaledFlux
Acidaminococcus_intestini	MV_FEM1_t1Q14	1e-06	EX_ac(e)	-0.0002121302722037	0.0321124673131824	ac[e]	import	MV_FEM1	ac	Acetate	-6.812026432277802e-06
Acidaminococcus_intestini	MV_FEM1_t1Q14	1e-06	EX_anzp(e)	-1670.39274073211	0.0321124673131824	anzp[e]	import	MV_FEM1	anzp	anzp	-53.64043228693705
Acidaminococcus_intestini	MV_FEM1_t1Q14	1e-06	EX_asp_L(e)	-13.453829959140092	0.0321124673131824	asp_L[e]	import	MV_FEM1	asp_L	asp L	-0.4320356748000004
Acidaminococcus_intestini	MV_FEM1_t1Q14	1e-06	EX_dfdcytd(e)	-0.0511459877384134	0.0321124673131824	dfdcytd[e]	import	MV_FEM1	dfdcytd	dfdcytd	-0.001642423859450228
Acidaminococcus_intestini	MV_FEM1_t1Q14	1e-06	EX_h2(e)	1.0588320926345345	0.0321124673131824	h2[e]	export	MV_FEM1	h2	Hydrogen	0.03400171096487501
Acidaminococcus_intestini	MV_FEM1_t1Q14	1e-06	EX_nmn(e)	16.04902032297314	0.0321124673131824	nmn[e]	export	MV_FEM1	nmn	nmn	0.515373640530075
Acidaminococcus_intestini	MV_FEM1_t1Q14	1e-06	EX_no3(e)	-9505.138137239128	0.0321124673131824	no3[e]	import	MV_FEM1	no3	no3	-305.23343773937495
Acidaminococcus_intestini	MV_FEM1_t1Q14	1e-06	EX_sulfac(e)	7474.050390650559	0.0321124673131824	sulfac[e]	export	MV_FEM1	sulfac	sulfac	240.01019886684423
Acidaminococcus_intestini	MV_FEM1_t1Q14	1e-06	EX_tyr_L(e)	0.0012725496541922	0.0321124673131824	tyr_L[e]	export	MV_FEM1	tyr_L	tyr L	4.086470917464859e-05
Alistipes_putredinis	MV_FEM1_t1Q14	1e-06	EX_dgchol(e)	0.0005620259728874	0.0515084470946725	dgchol[e]	export	MV_FEM1	dgchol	dgchol	2.8949085090302487e-05
Alistipes_putredinis	MV_FEM1_t1Q14	1e-06	EX_met_L(e)	-0.0002921876876702	0.0515084470946725	met_L[e]	import	MV_FEM1	met_L	met L	-1.5050134052075187e-05
Alistipes_putredinis	MV_FEM1_t1Q14	1e-06	EX_nchlphncl(e)	8.677707811404326e-05	0.0515084470946725	nchlphncl[e]	export	MV_FEM1	nchlphncl	nchlphncl	4.4697525370674595e-06
Alistipes_putredinis	MV_FEM1_t1Q14	1e-06	EX_ocdca(e)	-0.0003010823386168	0.0515084470946725	ocdca[e]	import	MV_FEM1	ocdca	ocdca	-1.5508283709783715e-05
Alistipes_putredinis	MV_FEM1_t1Q14	1e-06	EX_phe_L(e)	4.140755999571237e-05	0.0515084470946725	phe_L[e]	export	MV_FEM1	phe_L	phe L	2.132839113358628e-06
Alistipes_putredinis	MV_FEM1_t1Q14	1e-06	EX_pnto_R(e)	0.0003650173053189	0.0515084470946725	pnto_R[e]	export	MV_FEM1	pnto_R	pnto R	1.880147455965848e-05
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_1hibupglu_S(e)	-0.0001998344892284	0.0043176486336207	1hibupglu_S[e]	import	MV_FEM1	1hibupglu_S	1hibupglu S	-8.628151093672917e-07
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_2oh_cbz(e)	1799.347582677526	0.0043176486336207	2oh_cbz[e]	export	MV_FEM1	2oh_cbz	2oh cbz	7.768950631756328
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_2oh_mtz(e)	-0.0157805165970172	0.0043176486336207	2oh_mtz[e]	import	MV_FEM1	2oh_mtz	2oh mtz	-6.81347259229401e-05
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_3meacmp(e)	0.0030222044997506	0.0043176486336207	3meacmp[e]	export	MV_FEM1	3meacmp	3meacmp	1.3048817128870507e-05
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_3oh_dlor_glc(e)	1066.3113739801995	0.0043176486336207	3oh_dlor_glc[e]	export	MV_FEM1	3oh_dlor_glc	3oh dlor glc	4.603957846879819
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_3oh_mdea_glc(e)	130.68937954050168	0.0043176486336207	3oh_mdea_glc[e]	export	MV_FEM1	3oh_mdea_glc	3oh mdea glc	0.564270821001784
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_3oh_mxn_glc(e)	-30768.01783666193	0.0043176486336207	3oh_mxn_glc[e]	import	MV_FEM1	3oh_mxn_glc	3oh mxn glc	-132.8454901716807
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_4dh_tpno(e)	-0.0001272733723427	0.0043176486336207	4dh_tpno[e]	import	MV_FEM1	4dh_tpno	4dh tpno	-5.495217021917572e-07
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_4hmdgluc(e)	-0.0030926840566645	0.0043176486336207	4hmdgluc[e]	import	MV_FEM1	4hmdgluc	4hmdgluc	-1.3353123091478e-05
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_4oh_propl(e)	-0.0001421064663036	0.0043176486336207	4oh_propl[e]	import	MV_FEM1	4oh_propl	4oh propl	-6.135657900644046e-07
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_4oh_trz(e)	-128.24540585112857	0.0043176486336207	4oh_trz[e]	import	MV_FEM1	4oh_trz	4oh trz	-0.5537186013412574
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_5ohfvs(e)	3362.710959775336	0.0043176486336207	5ohfvs[e]	export	MV_FEM1	5ohfvs	5ohfvs	14.519004380735332
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_7a_czp(e)	0.0006455275655456	0.0043176486336207	7a_czp[e]	export	MV_FEM1	7a_czp	7a czp	2.787161211342456e-06
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_R_8oh_warf_glc(e)	0.0553160340920564	0.0043176486336207	R_8oh_warf_glc[e]	export	MV_FEM1	R_8oh_warf_glc	R 8oh warf glc	0.00023883519901488333
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_acnam(e)	-0.0237626897491458	0.0043176486336207	acnam[e]	import	MV_FEM1	acnam	acnam	-0.00010259894492655197
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_adocbl(e)	1590.3289635760557	0.0043176486336207	adocbl[e]	export	MV_FEM1	adocbl	adocbl	6.86648167659158
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_amio(e)	-0.1	0.0043176486336207	amio[e]	import	MV_FEM1	amio	amio	-0.00043176486336207
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_amntd_m6(e)	-0.0089893648646828	0.0043176486336207	amntd_m6[e]	import	MV_FEM1	amntd_m6	amntd m6	-3.881291892511562e-05
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_arab_L(e)	0.0837885898388894	0.0043176486336207	arab_L[e]	export	MV_FEM1	arab_L	arab L	0.00036176969043088603
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_atvlac(e)	-4288.679099601155	0.0043176486336207	atvlac[e]	import	MV_FEM1	atvlac	atvlac	-18.51700945443058
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_brv(e)	0.0006429849158294	0.0043176486336207	brv[e]	export	MV_FEM1	brv	brv	2.7761829432695295e-06
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_clcxb(e)	-155.19839787939716	0.0043176486336207	clcxb[e]	import	MV_FEM1	clcxb	clcxb	-0.6700921505441009
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_core6(e)	-0.0166732315529014	0.0043176486336207	core6[e]	import	MV_FEM1	core6	core6	-7.198915543242625e-05
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_crvsm1(e)	-1.224489657662595e-05	0.0043176486336207	crvsm1[e]	import	MV_FEM1	crvsm1	crvsm1	-5.2869160972895816e-08
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_cytd(e)	-7628.385166387849	0.0043176486336207	cytd[e]	import	MV_FEM1	cytd	cytd	-32.93668679038691
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_daa_glc(e)	-0.004170046353643	0.0043176486336207	daa_glc[e]	import	MV_FEM1	daa_glc	daa glc	-1.800479494094168e-05
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_dchac(e)	-0.0003214924579147	0.0043176486336207	dchac[e]	import	MV_FEM1	dchac	dchac	-1.3880914716347648e-06
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_ddea(e)	2182.5181160431835	0.0043176486336207	ddea[e]	export	MV_FEM1	ddea	ddea	9.423346361586274
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_dnpz_5des(e)	-9.781203068745544e-05	0.0043176486336207	dnpz_5des[e]	import	MV_FEM1	dnpz_5des	dnpz 5des	-4.223179806493579e-07
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_dsT_antigen(e)	0.0001023340003141	0.0043176486336207	dsT_antigen[e]	export	MV_FEM1	dsT_antigen	dsT antigen	4.418422566291141e-07
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_efv_glc(e)	-0.0023313796172555	0.0043176486336207	efv_glc[e]	import	MV_FEM1	efv_glc	efv glc	-1.0066078018894359e-05
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_eltr(e)	0.329092763528867	0.0043176486336207	eltr[e]	export	MV_FEM1	eltr	eltr	0.0014209069207848726
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_fuc_L(e)	0.001547716734556	0.0043176486336207	fuc_L[e]	export	MV_FEM1	fuc_L	fuc L	6.682497044187604e-06
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_fvsgluc(e)	-2327.370547290743	0.0043176486336207	fvsgluc[e]	import	MV_FEM1	fvsgluc	fvsgluc	-10.048768263438937
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_gal(e)	-0.0001572250350169	0.0043176486336207	gal[e]	import	MV_FEM1	gal	D-galactose	-6.78842457611685e-07
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_glytyr(e)	1196.6648283976865	0.0043176486336207	glytyr[e]	export	MV_FEM1	glytyr	glytyr	5.16677826123322
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_gmfl_glc(e)	0.0010242615751894	0.0043176486336207	gmfl_glc[e]	export	MV_FEM1	gmfl_glc	gmfl glc	4.4224015905866985e-06
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_gmfl_mI(e)	-0.0327815005707924	0.0043176486336207	gmfl_mI[e]	import	MV_FEM1	gmfl_mI	gmfl mI	-0.00014153900114751797
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_h2(e)	0.0001330814764204	0.0043176486336207	h2[e]	export	MV_FEM1	h2	Hydrogen	5.745990548267654e-07
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_ha_deg1(e)	6.250802091386053e-05	0.0043176486336207	ha_deg1[e]	export	MV_FEM1	ha_deg1	ha deg1	2.6988767108906404e-07
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_hst_37_diglc(e)	0.0003330573371589	0.0043176486336207	hst_37_diglc[e]	export	MV_FEM1	hst_37_diglc	hst 37 diglc	1.4380245567014733e-06
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_ins(e)	-0.1469768290167403	0.0043176486336207	ins[e]	import	MV_FEM1	ins	ins	-0.000634594304978032
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_lcts(e)	-2.2407873139322785	0.0043176486336207	lcts[e]	import	MV_FEM1	lcts	lcts	-0.0096749322842343
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_malt(e)	-0.0570085306217134	0.0043176486336207	malt[e]	import	MV_FEM1	malt	malt	-0.00024614280434356466
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_mantr(e)	0.0004336586855264	0.0043176486336207	mantr[e]	export	MV_FEM1	mantr	mantr	1.8723858310208095e-06
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_mn2(e)	0.0001268499938096	0.0043176486336207	mn2[e]	export	MV_FEM1	mn2	mn2	5.476937024468136e-07
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_nac(e)	0.0002975124984668	0.0043176486336207	nac[e]	export	MV_FEM1	nac	nac	1.2845544324902595e-06
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_nverp_glc(e)	-1189.079544791146	0.0043176486336207	nverp_glc[e]	import	MV_FEM1	nverp_glc	nverp glc	-5.134027671833815
Bacteroides_caccae	MV_FEM1_t1Q14	1e-06	EX_odsm_egltmn_glc(e)	1.888653832273896e-05	0.0043176486336207	odsm_egltmn_glc[e]	export	MV_FEM1	odsm_egltmn_glc	odsm egltmn glc	8.154543638299885e-08
