VFCCategory	Genes	MOCK1RawReads	MOCK2RawReads
Nutritional/Metabolic factor	28.0	747.0	676.0
Immune modulation	22.0	691.0	722.0
Effector delivery system	19.0	1066.0	978.0
Adherence	15.0	698.0	658.0
Enzyme	4.0	147.0	151.0
Post-translational modification	4.0	112.0	115.0
Stress survival	1.0	8.0	3.0
