Label	Elapsed	PeakRAMGiB	FileSystemInputs	FileSystemOutputs	ExitStatus
abricate-catalog-core-primary	0:42.92	0.242	0	80	0
abricate-catalog-core-sensitive	0:42.72	0.242	0	96	0
abricate-catalog-full-primary	1:41.42	0.243	0	120	0
abricate-coassembly-core-primary	0:35.21	0.238	0	80	0
abricate-pseudomonas-core-primary	0:03.52	0.099	0	120	0
abricate-staphylococcus-core-primary	0:01.55	0.105	0	64	0
