Asset	Identifier	Role
Gene catalog nucleotide FASTA	Article 34 / 93,782 representatives	gene-level virulence calls and abundance join
MEGAHIT co-assembly	Article 30 / contigs >=1 kb	contig-context branch
P. aeruginosa ATCC 9027	GCA_002563335.1; repository commit a429a372	Gram-negative positive control
S. aureus USA300 FPR3757	GCA_000013465.1; repository commit a429a372	Gram-positive positive control
VFDB set A	https://www.mgc.ac.cn/VFs/Down/VFDB_setA_nt.fas.gz	primary curated core reference
VFDB set B	https://www.mgc.ac.cn/VFs/Down/VFDB_setB_nt.fas.gz	pre-specified database sensitivity branch
