Label	Command	ReturnCode	StartedUTC	EndedUTC	Output	Stderr	ResourceLog
abricate-catalog-core-primary	/workspace/miniconda3/envs/metagenome-virulome-2026.07/bin/abricate --datadir /workspace/databases/vfdb-20260724/abricate --threads 32 --nopath --db vfdb-core --minid 90 --mincov 80 /workspace/wechat/Metagenome/work/article39/inputs/catalog.fna	0	2026-07-28T14:09:05.965830+00:00	2026-07-28T14:09:48.893216+00:00	/workspace/wechat/Metagenome/work/article39/catalog-core-primary/hits.tsv	/workspace/wechat/Metagenome/work/article39/logs/abricate-catalog-core-primary.stderr.log	/workspace/wechat/Metagenome/work/article39/logs/abricate-catalog-core-primary.time.txt
abricate-catalog-core-sensitive	/workspace/miniconda3/envs/metagenome-virulome-2026.07/bin/abricate --datadir /workspace/databases/vfdb-20260724/abricate --threads 32 --nopath --db vfdb-core --minid 80 --mincov 80 /workspace/wechat/Metagenome/work/article39/inputs/catalog.fna	0	2026-07-28T14:09:48.893378+00:00	2026-07-28T14:10:31.616737+00:00	/workspace/wechat/Metagenome/work/article39/catalog-core-sensitive/hits.tsv	/workspace/wechat/Metagenome/work/article39/logs/abricate-catalog-core-sensitive.stderr.log	/workspace/wechat/Metagenome/work/article39/logs/abricate-catalog-core-sensitive.time.txt
abricate-catalog-full-primary	/workspace/miniconda3/envs/metagenome-virulome-2026.07/bin/abricate --datadir /workspace/databases/vfdb-20260724/abricate --threads 32 --nopath --db vfdb-full --minid 90 --mincov 80 /workspace/wechat/Metagenome/work/article39/inputs/catalog.fna	0	2026-07-28T14:10:31.616934+00:00	2026-07-28T14:12:13.048492+00:00	/workspace/wechat/Metagenome/work/article39/catalog-full-primary/hits.tsv	/workspace/wechat/Metagenome/work/article39/logs/abricate-catalog-full-primary.stderr.log	/workspace/wechat/Metagenome/work/article39/logs/abricate-catalog-full-primary.time.txt
abricate-coassembly-core-primary	/workspace/miniconda3/envs/metagenome-virulome-2026.07/bin/abricate --datadir /workspace/databases/vfdb-20260724/abricate --threads 32 --nopath --db vfdb-core --minid 90 --mincov 80 /workspace/wechat/Metagenome/work/article39/inputs/coassembly.fna	0	2026-07-28T14:12:13.048680+00:00	2026-07-28T14:12:48.265260+00:00	/workspace/wechat/Metagenome/work/article39/coassembly/hits.tsv	/workspace/wechat/Metagenome/work/article39/logs/abricate-coassembly-core-primary.stderr.log	/workspace/wechat/Metagenome/work/article39/logs/abricate-coassembly-core-primary.time.txt
abricate-pseudomonas-core-primary	/workspace/miniconda3/envs/metagenome-virulome-2026.07/bin/abricate --datadir /workspace/databases/vfdb-20260724/abricate --threads 32 --nopath --db vfdb-core --minid 90 --mincov 80 /workspace/wechat/Metagenome/work/article39/inputs/pseudomonas.fna	0	2026-07-28T14:12:48.265447+00:00	2026-07-28T14:12:51.789821+00:00	/workspace/wechat/Metagenome/work/article39/pseudomonas/hits.tsv	/workspace/wechat/Metagenome/work/article39/logs/abricate-pseudomonas-core-primary.stderr.log	/workspace/wechat/Metagenome/work/article39/logs/abricate-pseudomonas-core-primary.time.txt
abricate-staphylococcus-core-primary	/workspace/miniconda3/envs/metagenome-virulome-2026.07/bin/abricate --datadir /workspace/databases/vfdb-20260724/abricate --threads 32 --nopath --db vfdb-core --minid 90 --mincov 80 /workspace/wechat/Metagenome/work/article39/inputs/staphylococcus.fna	0	2026-07-28T14:12:51.789985+00:00	2026-07-28T14:12:53.348281+00:00	/workspace/wechat/Metagenome/work/article39/staphylococcus/hits.tsv	/workspace/wechat/Metagenome/work/article39/logs/abricate-staphylococcus-core-primary.stderr.log	/workspace/wechat/Metagenome/work/article39/logs/abricate-staphylococcus-core-primary.time.txt
