Database	Release	Sequences	Bases	RawBytes	RawSHA256	FormattedSHA256	Status
VFDB core set A	2026-07-24	4895	6070842	2011507	0bc8a522660bc13b1891f41cccc8eb30d3dfe0f13fb236ef9dc1245365113afb	62d721cc53e7694b78f02d8f58287ed1563c2db943b4c08f9e46414516be761b	PASS
VFDB full set B	2026-07-24	35188	48665409	10683762	1dd2df13b77d791bd29ec8aefb5eaaabfd3d9007ba751545e91e5516edcdef60	00bd797524195ec5be0ff44b69af279e8abd21f27e273ee4f02ff5ec1d3e16dc	PASS
