EvaluationSet	Assembly	ParentBranch	Contigs	TotalLengthBp	N50Bp	NA50Bp	Misassemblies	GenomeFractionPct
MOCK1	sr-spades-10m_broken	sr-spades-10m	22047	138420342	22015	21821	170	58.69
MOCK1	hybrid-illumina-ont_broken	hybrid-illumina-ont	11873	158336020	62110	57815	323	64.366
MOCK1	hybrid-illumina-hifi_broken	hybrid-illumina-hifi	10728	166997057	62786	57740	458	68.95
