Control	Source	TotalLengthDeltaBp	N50SourceBp	N50ControlBp	N50DeltaBp	NA50SourceBp	NA50ControlBp	MisassembliesSource	MisassembliesControl	MisassemblyDelta	GenomeFractionSourcePct	GenomeFractionControlPct	MismatchesSourcePer100Kbp	MismatchesControlPer100Kbp	Purpose
diagnostic-fragmented-50kb	lr-flye-hifi	0	2013697	50000	-1963697	903979	50000	284	276	-8	70.125	70.129	8.11	9.03	diagnostic transformation of a real assembly; not a biological workflow
diagnostic-chimeric-rotation	lr-flye-hifi	0	2013697	2013697	0	903979	783687	284	323	39	70.125	70.125	8.11	8.11	diagnostic transformation of a real assembly; not a biological workflow
