Step	ElapsedSeconds	PeakRSSGiB	CPUPercent	FileSystemInputs	FileSystemOutputs	ExitStatus
metaquast-MOCK1	587.260	2.025	1269	8	13880624	0
metaquast-MOCK1_MOCK2	206.390	2.358	359	0	2747960	0
metaquast-MOCK2	188.710	2.293	339	0	2431080	0
quast-reference-free	142.280	1.461	153	8	4310512	0
