Label	Elapsed	PeakRAMGiB	FileSystemInputs	FileSystemOutputs	ExitStatus
dbcan-btheta-substrate	7:41.13	2.981	0	183760	0
dbcan-catalog	20:36.01	5.52	0	929488	0
