CAZyClass	GenesWithLabel	FractionalGeneEquivalent	MOCK1ReadsFromGenesWithLabel	MOCK1FractionalRawReads	MOCK2ReadsFromGenesWithLabel	MOCK2FractionalRawReads
GT	1021.0	1018.16666667	46819.0	46486.66666667	46198.0	45834.0
GH	784.0	731.66666667	65057.0	58427.66666667	65012.0	58391.0
CBM	183.0	131.0	17431.0	11083.0	17486.0	11169.0
CE	107.0	103.16666667	4985.0	4583.16666667	4977.0	4548.5
AA	43.0	42.5	1854.0	1832.5	1843.0	1817.0
PL	24.0	22.5	885.0	800.0	890.0	818.5
Other module	1.0	1.0	23.0	23.0	17.0	17.0
