GeneType	Genes	CGCs	CGCsWithPredictedSubstrate
CAZyme	337	117	25
TC	287	117	25
null	231	117	25
STP	53	117	25
Sulfatase	22	117	25
Peptidase	4	117	25
TF	1	117	25
