Asset	Source	SHA256	Role
Catalog proteins	data/small/34-nonredundant-gene-catalog-frozen/catalog/megahit-mix-primary.faa.gz	3db88ff78a548dddfc48caa8a17f04bcbb58dcafe2345d9dd31bc4e12f2a3569	93,782 protein queries
Representative metadata	data/small/34-nonredundant-gene-catalog-frozen/primary-catalog-representatives.tsv.gz	677479da11ef41a6f27f11798c38dfd9b5830b5c564d9a8f436951413acd7c09	ORF completeness strata
Gene abundance	data/small/35-gene-abundance-frozen/gene-abundance-long.tsv.gz	8dc7ea7c1f0a6e61625fd1aada492d252b60eed050a91af6560986987e43236b	read-weighted profiles
B. thetaiotaomicron VPI-5482	data/raw/article32/benchmark_mock/reference/all_genomes_listed/Bacteroides_thetaiotaomicron_VPI-5482.fna.gz	d4e886c57d6148df6d9b3410f15bbbe94979b5adafba7bec4d787e235cd51068	real CGC/substrate control
