EvidenceTools	EvidenceTier	Genes	GenePercent	MOCK1RawReads	MOCK1ReadPercent	MOCK2RawReads	MOCK2ReadPercent
0	No CAZyme evidence	89883	95.84248576485894	2538762	91.18349966274387	2533890	91.231035164358
1	Single-tool sensitivity	1849	1.9715936960184257	122236	4.390291907935899	120958	4.355012866150629
2	Two-tool consensus	445	0.4745047023949159	19574	0.7030299895770254	19606	0.7059010751975828
3	Three-tool consensus	1605	1.7114158367277303	103662	3.723178439743211	102989	3.7080508942937804
